threads, trials, probability, megatrials/sec
 2,        10, 100.00,   0.59
 2,       100, 100.00,   9.12
 2,      1000,  99.00,  26.38
 2,      2000,  99.05,  33.83
 2,      5000,  99.08,  38.76
 2,      6000,  99.08,  49.15
 2,     10000,  98.98,  56.53
 2,     50000,  98.91,  69.14
 2,    100000,  98.88,  87.20
 2,    150000,  98.88, 102.60
 2,    500000,  98.87, 124.81
 2,   1000000,  98.86, 124.95
 4,        10, 100.00,   0.58
 4,       100, 100.00,   4.99
 4,      1000,  99.00,  27.78
 4,      2000,  99.05,  42.58
 4,      5000,  99.08,  73.58
 4,      6000,  99.08,  77.91
 4,     10000,  98.98,  84.73
 4,     50000,  98.91, 115.99
 4,    100000,  98.88, 137.56
 4,    150000,  98.88, 174.42
 4,    500000,  98.87, 239.35
 4,   1000000,  98.86, 239.92
 8,        10, 100.00,   0.11
 8,       100, 100.00,   1.18
 8,      1000,  99.00,  11.88
 8,      2000,  99.05,  17.70
 8,      5000,  99.08,  40.02
 8,      6000,  99.08,  47.22
 8,     10000,  98.98,  50.29
 8,     50000,  98.91, 131.57
 8,    100000,  98.88, 164.22
 8,    150000,  98.88, 185.86
 8,    500000,  98.87, 269.42
 8,   1000000,  98.86, 276.01
16,        10, 100.00,   0.05
16,       100, 100.00,   0.46
16,      1000,  99.00,   5.07
16,      2000,  99.05,   9.75
16,      5000,  99.08,  22.72
16,      6000,  99.08,  28.06
16,     10000,  98.98,  40.49
16,     50000,  98.91, 110.90
16,    100000,  98.88, 150.82
16,    150000,  98.88, 190.82
16,    500000,  98.87, 285.37
16,   1000000,  98.86, 291.19

